Gene_A,Gene_B
DOT1L,KMT2A
ESR1,KMT2A
HOXA9,KMT2A
CXXC1,KMT2B
ESR1,KMT2B
FOXK2,KMT2B
KMT2A,KMT2B
E2F1,L3MBTL3
E2F3,L3MBTL3
L3MBTL1,L3MBTL4
L3MBTL3,L3MBTL4
AEBP2,LCOR
AR,LCOR
BAZ2A,LCOR
ESR1,LCOR
KLF6,LCOR
EGR1,LEF1
FLYWCH1,LHX2
HOXC8,LHX2
FIGLA,LHX3
GCM2,LHX3
HOXC5,LHX3
HOXC8,LHX3
ARID2,LHX4
CENPS,LHX4
HOXC5,LHX4
IKZF1,LHX4
ISL1,LHX4
ISL2,LHX4
ARID3B,LHX6
FIGLA,LHX6
KLF3,LHX6
ATF2,LHX8
FIGLA,LHX8
FOSL2,LHX8
FOXN1,LHX8
KLF3,LHX8
E2F4,LIN54
FOXJ2,LIN54
FOXM1,LIN54
CREB5,LMX1B
HOXA1,LMX1B
AHR,MAF
ATF4,MAF
FOS,MAF
BACH1,MAFB
FOS,MAFB
MAF,MAFB
BACH1,MAFF
BACH2,MAFF
JUN,MAFF
BACH1,MAFG
BACH2,MAFG
HIF1A,MAFG
HOMEZ,MAFG
ARNTL,MAX
CLOCK,MAX
CUX1,MAX
E2F6,MAX
FOXK1,MAX
FOXK2,MAX
FOXR1,MAX
FOXR2,MAX
HMG20A,MAX
JUN,MAX
BPTF,MAZ
ESR1,MAZ
FOS,MAZ
JUN,MAZ
ESR1,MBD1
BCL11A,MBD2
BCL11B,MBD2
BPTF,MBD2
DNMT1,MBD2
ESR1,MBD2
GATAD2A,MBD2
GATAD2B,MBD2
HINFP,MBD2
HMG20A,MBD2
ASCL4,MBD3
ATF7,MBD3
BCL11A,MBD3
BPTF,MBD3
ESR1,MBD3
GATAD2A,MBD3
GATAD2B,MBD3
MBD2,MBD3
ESR1,MBD4
FOXJ2,MECOM
MBD3,MECOM
CREB1,MECP2
ESR1,MECP2
FOXC1,MECP2
FOXE1,MECP2
FOXI2,MECP2
FOXR1,MECP2
JUN,MECP2
MAX,MECP2
ASCL1,MEF2A
ATF3,MEF2A
ATF7,MEF2A
JUN,MEF2A
JUND,MEF2A
EPAS1,MEF2C
JUN,MEF2C
MEF2A,MEF2C
JUN,MEF2D
MEF2A,MEF2D
CREB1,MEIS1
DLX3,MEIS1
EMX2,MEIS1
FOXC1,MEIS1
HOXA11,MEIS1
HOXA9,MEIS1
HOXB13,MEIS1
HOXC11,MEIS1
HOXD13,MEIS1
LMX1B,MEIS1
ARNT2,MEIS2
HOXB13,MEIS2
LMX1B,MEIS2
MEIS1,MEIS2
MBD3,MEIS3
MEIS2,MEIS3
HMBOX1,MEOX1
HOXC8,MEOX1
MBD3,MEOX1
MEF2A,MEOX1
ARNT2,MEOX2
ARNTL2,MEOX2
CBX2,MEOX2
CXXC1,MEOX2
DMRT3,MEOX2
E2F8,MEOX2
ERF,MEOX2
ESR2,MEOX2
ESRRG,MEOX2
FOSL2,MEOX2
FOXR1,MEOX2
GCM2,MEOX2
HMBOX1,MEOX2
HOXB5,MEOX2
HOXC8,MEOX2
IKZF1,MEOX2
IRX6,MEOX2
MBD3,MEOX2
MEOX1,MEOX2
ADNP,MGA
CHAMP1,MGA
E2F6,MGA
KDM2B,MGA
MAX,MGA
LEF1,MITF
BACH2,MLX
MEOX1,MLX
MEOX2,MLX
MLX,MLXIPL
FOXK2,MNT
MAX,MNT
MLX,MNT
FERD3L,MSGN1
DLX2,MSX1
FOXH1,MSX2
GATA2,MSX2
HOXC9,MSX2
MSX1,MSX2
MAX,MTERF1
FOS,MTERF4
AEBP2,MTF2
BCL11A,MTF2
BPTF,MTF2
CREB1,MTF2
GATAD2A,MTF2
GATAD2B,MTF2
LCOR,MTF2
MBD2,MTF2
MBD3,MTF2
MAX,MXD1
MLX,MXD1
MAX,MXD3
MAX,MXD4
MLX,MXD4
