Gene_A,Gene_B
ABHD4,CSNK2B
ABHD4,DERL1
ABHD4,DGAT2L6
ABHD4,HTATIP2
ABHD4,IGFBP5
ABHD4,INSIG2
ABHD4,PLIN3
ABHD4,RABAC1
ABHD4,REEP5
ABHD4,TK1
ABHD4,UBC
ABHD5,CERCAM
ABHD5,CLCN4
ABHD5,COQ8A
ABHD5,DGAT2L6
ABHD5,GAD2
ABHD5,GET1
ABHD5,GRIA4
ABHD5,MIEF1
ABHD5,PCNX2
ABHD5,PLIN1
ABHD5,PLIN2
ABHD5,PLIN3
ABHD5,PLIN5
ABHD5,PNPLA2
ABHD5,RBFA
ABHD5,RNF24
ABHD5,RUSC1
ABHD5,SH3GLB1
ABHD5,SLC44A3
ABHD5,TMEM14B
ABHD5,TMEM31
ABHD5,TPD52L2
ABHD5,TRIM59
ABHD5,ZCCHC12
ABHD6,FIS1
ABHD6,KIF14
ABHD6,PCGF2
ABHD6,RTP2
ABHD6,SCAMP4
ABHD6,TVP23B
ABI1,ABI2
ABI1,AKAP12
ABI1,BAIAP2
ABI1,BRK1
ABI1,C22ORF15
ABI1,CACNA1A
ABI1,CAD
ABI1,CCDC57
ABI1,CCHCR1
ABI1,CDH23
ABI1,CMPK1
ABI1,CYFIP1
ABI1,DPP7
ABI1,DST
ABI1,DTNB
ABI1,EIF3H
ABI1,ENAH
ABI1,EPS8
ABI1,HHEX
ABI1,HNRNPK
ABI1,HOMER1
ABI1,HSD17B12
ABI1,HSPA6
ABI1,HSPA7
ABI1,IVNS1ABP
ABI1,KIAA0408
ABI1,KIAA1522
ABI1,LMO1
ABI1,MAB21L2
ABI1,MKI67
ABI1,MRFAP1
ABI1,MRFAP1L1
ABI1,MYO1C
ABI1,NCF1
ABI1,NCK1
ABI1,NFASC
ABI1,NHS
ABI1,NHSL1
ABI1,NHSL2
ABI1,NXN
ABI1,ODF3L2
ABI1,PCMT1
ABI1,PDCD4
ABI1,PIK3R1
ABI1,PRKAA2
ABI1,PRPS1
ABI1,PRPSAP1
ABI1,PRPSAP2
ABI1,Q59FK4
ABI1,RAPH1
ABI1,RBM14
ABI1,RBM15
ABI1,SHANK3
ABI1,SLC25A11
ABI1,SLC25A3
ABI1,SLC25A5
ABI1,SORBS2
ABI1,SPTA1
ABI1,SRP68
ABI1,TCF4
ABI1,THOC6
ABI1,TLN1
ABI1,TSC1
ABI1,TUBA1B
ABI1,TUBB
ABI1,TUBB4B
ABI1,UBXN11
ABI1,VARS2
ABI1,WASF2
ABI1,ZNF511
ABI2,A0A024R8L2
ABI2,ABL2
ABI2,ABLIM3
ABI2,ANKRD55
ABI2,ARHGAP32
ABI2,ATP23
ABI2,B3KXA2
ABI2,B4DZP6
ABI2,BAG4
ABI2,BIN3
ABI2,BLOC1S5
ABI2,BORCS6
ABI2,BRK1
ABI2,C19ORF54
ABI2,C1ORF216
ABI2,C20ORF202
ABI2,C4ORF17
ABI2,CCDC102B
ABI2,CCDC115
ABI2,CCDC57
ABI2,CCDC74B
